 ID,DATA E HORA,TQ SUSPENSÃO,VEL_1_RPM, VEL_5_RPM,COZEDOR, TEMP AMOSTRA C°,ASPECTO
347,7/4/2023 1:30:00 PM,Tanque 1001,127400,37600,Therlet 4,23,OK
350,7/4/2023 2:30:00 PM,Tanque 1002,136800,42320,Therlet 4,23,OK
348,7/4/2023 2:30:00 PM,Tanque 1001,142400,43760,Therlet 4,23,OK
357,7/4/2023 6:30:00 PM,Tanque 1001,137200,41300,Therlet 4,23,OK
356,7/4/2023 6:31:00 PM,Tanque 1001,137200,41300,Therlet 4,24,OK
362,7/4/2023 9:30:00 PM,Tanque 1002,115200,34560,Therlet 4,23,OK
321,7/4/2023 11:30:00 PM,Tanque 1003,142800,42800,Therlet 4,27,OK
374,7/5/2023 3:30:00 AM,Tanque 1002,138000,41200,Therlet 4,26,OK
382,7/5/2023 7:30:00 AM,Tanque 1003,128200,38000,Therlet 4,27,OK
383,7/5/2023 3:30:00 PM,Tanque 1002,140800,39680,Therlet 4,23,OK
389,7/5/2023 5:30:00 PM,Tanque 1002,140000,41200,Therlet 4,24,OK
392,7/5/2023 7:30:00 PM,Tanque 1001,150000,39680,Therlet 4,25,OK
396,7/5/2023 9:30:00 PM,Tanque 1001,135200,40240,Therlet 4,25,OK
403,7/6/2023 2:30:00 PM,Tanque 1001,144000,38150,Therlet 4,25,OK
410,7/6/2023 5:30:00 PM,Tanque 1002,140000,38600,Therlet 4,24,OK
416,7/6/2023 7:30:00 PM,Tanque 1001,138800,38150,Therlet 4,23,OK
419,7/6/2023 9:30:00 PM,Tanque 1003,142800,42480,Therlet 4,23,OK
427,7/7/2023 7:30:00 AM,Tanque 1002,132400,37250,Therlet 4,23,OK
429,7/7/2023 8:30:00 AM,Tanque 1003,130880,38200,Therlet 4,25,OK
433,7/7/2023 10:30:00 AM,Tanque 1003,130480,37800,Therlet 4,25,OK
438,7/7/2023 12:30:00 PM,Tanque 1002,131200,35080,Therlet 4,25,OK
444,7/7/2023 2:30:00 PM,Tanque 1002,140000,39760,Therlet 4,25,OK
448,7/7/2023 4:32:00 PM,Tanque 1001,134800,41680,Therlet 4,23,OK
452,7/7/2023 6:30:00 PM,Tanque 1001,145600,42160,Therlet 4,23,OK
456,7/7/2023 8:32:00 PM,Tanque 1003,146400,41440,Therlet 4,24,OK
459,7/7/2023 10:30:00 PM,Tanque 1002,130800,42000,Therlet 4,23,OK
463,7/8/2023 12:30:00 AM,Tanque 1001,136400,40960,Therlet 4,23,OK
465,7/8/2023 1:30:00 AM,Tanque 1002,135600,41200,Therlet 4,24,OK
466,7/8/2023 2:30:00 AM,Tanque 1002,147600,43520,Therlet 4,23,OK
467,7/8/2023 3:30:00 AM,Tanque 1003,150800,42480,Therlet 4,23,OK
471,7/8/2023 5:30:00 AM,Tanque 1001,144800,41760,Therlet 4,23,OK
475,7/8/2023 7:30:00 AM,Tanque 1002,130300,38600,Therlet 4,23,OK
478,7/8/2023 2:30:00 PM,Tanque 1002,130800,39520,Therlet 4,25,OK
481,7/8/2023 4:30:00 PM,Tanque 1002,117200,36960,Therlet 4,26,OK
485,7/8/2023 6:32:00 PM,Tanque 1003,139200,34240,Therlet 4,24,OK
486,7/8/2023 9:30:00 PM,Tanque 1002,118400,36520,Therlet 4,24,OK
489,7/8/2023 11:30:00 PM,Tanque 1003,142400,40880,Therlet 4,24,OK
491,7/9/2023 1:30:00 AM,Tanque 1003,133200,39920,Therlet 4,24,OK
492,7/9/2023 1:30:00 AM,Tanque 1003,133200,39920,Therlet 4,23,OK
494,7/9/2023 3:30:00 AM,Tanque 1001,143000,43440,Therlet 4,24,OK
495,7/9/2023 3:30:00 AM,Tanque 1001,143000,43440,Therlet 4,24,OK
498,7/9/2023 5:30:00 AM,Tanque 1003,141200,41920,Therlet 4,24,OK
499,7/9/2023 2:31:00 PM,Tanque 1001,124000,36400,Therlet 4,25,OK
502,7/9/2023 4:34:00 PM,Tanque 1003,135200,37920,Therlet 4,24,OK
506,7/9/2023 6:30:00 PM,Tanque 1002,131700,44080,Therlet 4,25,OK
507,7/9/2023 7:32:00 PM,Tanque 1003,136400,43520,Therlet 4,23,OK
